UMAINE,University of Maine,230
UMHB,University of Mary Hardin-Baylor,231
UMBC,University of Maryland-Baltimore County,232
UMD,University of Maryland-College Park,233
UMASS,University of Massachusetts-Amherst,234
UMB,University of Massachusetts-Boston,235
UMASSL,University of Massachusetts-Lowell,236
UMEM,University of Memphis,237
UMIAMI,University of Miami,238
UMICH,University of Michigan-Ann Arbor,239
UMN,University of Minnesota-Twin Cities,240
UMISS,University of Mississippi,241
MU,University of Missouri-Columbia,242
UNL,University of Nebraska-Lincoln,243
UNLV,University of Nevada-Las Vegas,244
UNH,University of New Haven,245
UNM,University of New Mexico-Main Campus,246
UNC,University of Northern Colorado,247
UNCC,University of North Carolina at Charlotte,248
UNCGB,University of North Carolina at Greensboro,249
UNCW,University of North Carolina Wilmington,250
UNF,University of North Florida,251
UNG,University of North Georgia,252
UNT,University of North Texas,253
ND,University of Notre Dame,254
UOR,University of Oregon,255
UPENN,University of Pennsylvania,256
UPITT,University of Pittsburgh-Pittsburgh Campus,257
UP,University of Portland,258
URI,University of Rhode Island,259
URICH,University of Richmond,260
UROCH,University of Rochester,261
USD,University of San Diego,262
USF,University of South Florida,263
USA,University of South Alabama,264
UCSCU,University of South Carolina-Columbia,265
USC,University of Southern California,266
UOP,University of the Pacific,267
UUTA,University of Utah,268
UVM,University of Vermont,269
UVA,University of Virginia-Main Campus,270
UW,University of Washington-Seattle Campus,271
UWISC,University of Wisconsin-Madison,272
UWM,University of Wisconsin-Milwaukee,273
USU,Utah State University,274
VU,Villanova University,275
VCU,Virginia Commonwealth University,277
VPI,Virginia Polytechnic Institute and State University,278
WFU,Wake Forest University,279
WSU,Wayne State University,280
WUSTL,Washington University in St Louis,281
WCUPA,West Chester University of Pennsylvania,283
WVU,West Virginia University,284
WCU,Western Carolina University,285
WMICH,Western Michigan University,286
WWU,Western Washington University,287
WM,William & Mary,288
WPI,Worcester Polytechnic Institute,291
XAVIERU,Xavier University,292
