New Mexico State University-Main Campus,NM,Public,Suburb: Midsize,51%-75%,Large,www.nmsu.edu/,-106.752069,32.281568
New York University,NY,Private,City: Large,10%-25%,Very Large,https://www.nyu.edu/,-73.997264,40.729452
North Carolina A & T State University,NC,Public,City: Large,51%-75%,Large,www.ncat.edu/,-79.773375,36.07282
North Carolina State University at Raleigh,NC,Public,City: Large,<10%,Very Large,www.ncsu.edu/,-78.674517,35.785111
Northeastern University,MA,Private,City: Large,10%-25%,Very Large,www.northeastern.edu/,-71.088782,42.339992
Northern Arizona University,AZ,Public,City: Small,>75%,Very Large,https://nau.edu/,-111.653724,35.188449
Northern Illinois University,IL,Public,Suburb: Small,51%-75%,Large,www.niu.edu/,-88.766428,41.933869
Northwestern University,IL,Private,City: Small,Most Selective,Very Large,www.northwestern.edu/,-87.679858,42.050356
Ohio State University-Main Campus,OH,Public,City: Large,51%-75%,Very Large,www.osu.edu/,-83.014853,39.999324
Oklahoma State University-Main Campus,OK,Public,Town: Distant,51%-75%,Very Large,www.okstate.edu/,-97.069743,36.123085
Pennsylvania State University-Main Campus,PA,Public,City: Small,51%-75%,Very Large,https://www.psu.edu/,-77.862848,40.7965
Pepperdine University,CA,Private,Suburb: Large,51%-75%,Large,www.pepperdine.edu/,-118.707077,34.037786
Princeton University,NJ,Private,City: Small,Most Selective,Medium,www.princeton.edu/,-74.659365,40.348732
Providence College,RI,Private,City: Midsize,51%-75%,Small,www.providence.edu/,-71.437446,41.842742
Purdue University-Main Campus,IN,Public,City: Small,51%-75%,Very Large,https://www.purdue.edu/,-86.914435,40.428206
Rensselaer Polytechnic Institute,NY,Private,City: Small,51%-75%,Medium,www.rpi.edu/,-73.676646,42.729978
Rice University,TX,Private,City: Large,Most Selective,Medium,www.rice.edu/,-95.402035,29.717897
Rochester Institute of Technology,NY,Private,Suburb: Large,51%-75%,Large,www.rit.edu/,-77.67386,43.084188
Rutgers University-New Brunswick,NJ,Public,City: Small,51%-75%,Very Large,https://newbrunswick.rutgers.edu/,-74.446251,40.498769
Sacred Heart University,CT,Private,Suburb: Large,51%-75%,Medium,https://www.sacredheart.edu/,-73.243332,41.220893
Saint Louis University,MO,Private,City: Large,51%-75%,Large,www.slu.edu/,-90.2351,38.636801
San Diego State University,CA,Public,City: Large,<10%,Very Large,www.sdsu.edu/,-117.071228,32.77525
Santa Clara University,CA,Private,City: Midsize,51%-75%,Medium,www.scu.edu/,-121.93784,37.348362
Seton Hall University,NJ,Private,Suburb: Large,>75%,Medium,https://www.shu.edu/,-74.246027,40.742336
Skidmore College,NY,Private,Suburb: Small,<10%,Small,www.skidmore.edu/,-73.785335,43.097035
Southern Methodist University,TX,Private,Suburb: Large,51%-75%,Large,https://www.smu.edu/,-96.783365,32.843612
Stanford University,CA,Private,Suburb: Large,Most Selective,Large,www.stanford.edu/,-122.167359,37.429434
State University of New York at New Paltz,NY,Public,Suburb: Large,<10%,Medium,www.newpaltz.edu/,-74.082188,41.740936
Stevens Institute of Technology,NJ,Private,Suburb: Large,51%-75%,Medium,www.stevens.edu/,-74.025334,40.744776
Stony Brook University,NY,Public,Suburb: Large,<10%,Very Large,https://www.stonybrook.edu/,-73.12046,40.91476
SUNY at Albany,NY,Public,City: Small,51%-75%,Large,www.albany.edu/,-73.824662,42.685489
SUNY Cortland,NY,Public,Town: Distant,51%-75%,Medium,www2.cortland.edu/,-76.188655,42.598022
Syracuse University,NY,Private,City: Midsize,51%-75%,Very Large,https://www.syracuse.edu/,-76.133989,43.036644
Temple University,PA,Public,City: Large,51%-75%,Very Large,www.temple.edu/,-75.156859,39.980546
Texas A & M University-College Station,TX,Public,City: Midsize,51%-75%,Very Large,https://www.tamu.edu/,-96.336475,30.618726
Texas Christian University,TX,Private,City: Large,51%-75%,Large,https://www.tcu.edu/,-97.364758,32.70961
Texas State University,TX,Public,City: Small,51%-75%,Very Large,https://www.txst.edu/,-97.943029,29.888885
Texas Tech University,TX,Public,City: Large,51%-75%,Very Large,www.ttu.edu/,-101.874783,33.583448
The University of Tampa,FL,Private,City: Large,51%-75%,Large,https://www.ut.edu/,-82.46483,27.948455
The University of Tennessee-Knoxville,TN,Public,City: Midsize,51%-75%,Very Large,www.utk.edu/,-83.925852,35.952082
The University of Texas at Austin,TX,Public,City: Large,<10%,Very Large,https://www.utexas.edu/,-97.738273,30.282825
Tufts University,MA,Private,Suburb: Large,10%-25%,Large,https://www.tufts.edu/,-71.118293,42.40855
Tulane University of Louisiana,LA,Private,City: Large,Most Selective,Large,https://tulane.edu/,-90.122144,29.940069
University of California-Berkeley,CA,Public,City: Midsize,10%-25%,Very Large,www.berkeley.edu/,-122.260463,37.871918
